,price
2038,490.0
2041,1025.0
2044,799.0
2045,348.0
2047,116.0
2048,201.0
2049,301.0
2050,201.0
2051,68.0
2052,239.0
2055,550.0
2056,151.0
2057,400.0
2058,499.0
2060,1025.0
2062,249.0
2063,150.0
2064,348.0
2065,550.0
2066,348.0
2069,499.0
2070,801.0
2071,161.0
2073,205.0
2075,229.0
2076,219.0
2077,116.0
2078,48.0
2082,96.0
2083,240.0
2084,1199.0
2085,649.0
2086,79.0
2087,799.0
2088,271.0
2089,75.0
2093,161.0
2094,236.0
2095,195.0
2097,1001.0
2099,301.0
2101,219.0
2102,96.0
2103,123.0
2104,379.0
2105,208.0
2106,318.0
2107,137.0
2110,509.0
2111,331.0
2112,34.0
2113,140.0
2115,417.0
2116,150.0
2117,79.0
2119,369.0
2121,171.0
2122,441.0
2125,99.0
2126,126.0
2127,130.0
2128,301.0
2129,154.0
2130,205.0
2131,321.0
2132,89.0
2134,301.0
2135,321.0
2137,280.0
2138,208.0
2139,249.0
2141,348.0
2142,205.0
2143,249.0
2144,598.0
2146,270.0
2147,294.0
2148,499.0
2150,249.0
2152,151.0
2153,311.0
2154,550.0
2156,109.0
2158,126.0
2159,181.0
2163,201.0
2164,181.0
2165,338.0
2168,205.0
2171,201.0
2172,79.0
2173,1027.0
2175,301.0
2176,249.0
2178,130.0
2180,301.0
2181,167.0
2182,44.0
2183,239.0
2184,550.0
2186,669.0
2188,599.0
2189,161.0
2190,44.0
2191,356.0
2193,150.0
2196,89.0
2197,338.0
2199,201.0
2200,700.0
2201,400.0
2202,301.0
2203,342.0
2204,181.0
2205,649.0
2206,331.0
2207,348.0
2210,1000.0
2211,369.0
2212,1048.0
2213,201.0
2214,201.0
2216,181.0
2217,1199.0
2218,143.0
2219,201.0
2221,68.0
2223,150.0
2225,441.0
2226,488.0
2228,236.0
2229,410.0
2232,273.0
2233,126.0
2234,250.0
2236,201.0
2237,249.0
2238,85.0
2239,550.0
2240,171.0
2242,700.0
2246,229.0
2247,301.0
2250,400.0
2251,137.0
2253,250.0
2254,123.0
2255,130.0
2256,150.0
2257,301.0
2258,181.0
2259,280.0
2261,1000.0
2262,150.0
2264,140.0
2265,150.0
2266,301.0
2267,1025.0
2270,109.0
2272,1025.0
2274,140.0
2275,526.0
2277,601.0
2279,109.0
2280,307.0
2283,130.0
2286,55.0
2287,400.0
2288,106.0
2289,171.0
2290,99.0
2292,109.0
2293,130.0
2294,242.0
2295,902.0
2296,212.0
2297,291.0
2298,270.0
2300,260.0
2301,1001.0
2302,277.0
2308,212.0
2309,253.0
2310,301.0
2311,201.0
2312,222.0
2313,349.0
2315,154.0
2317,201.0
2319,201.0
2320,130.0
2323,120.0
2325,280.0
2326,205.0
2328,150.0
2329,85.0
2330,85.0
2331,150.0
2332,406.0
2333,681.0
2335,249.0
2336,365.0
2337,151.0
2338,198.0
2339,151.0
2340,581.0
2341,201.0
2343,249.0
2345,151.0
2346,164.0
2347,683.0
2350,219.0
2351,1001.0
2352,65.0
2353,284.0
2354,250.0
2355,601.0
2356,557.0
2357,106.0
2359,249.0
2361,389.0
2362,799.0
2365,116.0
2367,348.0
2368,215.0
2371,438.0
2374,400.0
2375,250.0
2377,188.0
2379,833.0
2381,301.0
2383,174.0
2387,249.0
2388,140.0
2391,41.0
2392,400.0
2396,99.0
2402,181.0
2405,130.0
2407,338.0
2409,199.0
2411,161.0
2413,500.0
2414,348.0
2416,301.0
2417,959.0
2418,219.0
2419,301.0
2420,301.0
2421,185.0
2424,161.0
2425,249.0
2426,75.0
2427,348.0
2429,164.0
2432,130.0
2434,75.0
2435,126.0
2436,150.0
2438,301.0
2439,109.0
2440,799.0
2443,902.0
2444,174.0
2445,140.0
2446,260.0
2450,400.0
2452,150.0
2454,140.0
2455,201.0
2457,246.0
2458,550.0
2460,208.0
2461,348.0
2462,201.0
2464,253.0
2468,201.0
2469,191.0
2470,799.0
2471,649.0
2472,61.0
2473,38.0
2476,188.0
2477,331.0
2480,188.0
2481,348.0
